"Деятельность
финансовая
и страховая","Деятельность по
операциям с
недвижимым
имуществом","Деятельность
профессиональная,
научная и
техническая","Деятельность
административная и
сопутствующие дополнительные
услуги","Государственное
управление
и обеспечение
военной
безопасности;
социальное
обеспечение",Образование,"Деятельность в
области
здравоохранения и
социальных
услуг","Деятельность
в области
культуры,
спорта,
организации
досуга и
развлечений","Предоставление
прочих
видов услуг","Деятельность
домашних
хозяйств
как работодателей"
"0,4","10,1","3,3","2,0","5,2","3,3","4,6","0,7","0,4","0,0",федеральный округ
"0,3","9,9","4,1","2,5","4,5","4,1","5,3","0,5","0,4","0,0",Республика Башкортостан
"0,5","10,5","2,3","1,5","7,6","4,4","5,6","1,2","0,4","0,0",Республика Марий Эл
"0,3","10,4","2,0","1,6","8,2","3,8","5,7","0,8","0,3","0,0",Республика Мордовия
"0,4","9,6","3,4","1,9","4,0","2,8","2,8","1,0","0,5","0,0",Республика Татарстан
"0,3","9,7","2,8","1,6","4,9","3,6","5,7","0,8","0,5","0,0",Удмуртская Республика
"0,5","13,4","3,0","0,7","6,6","4,3","6,3","0,7","0,6","0,0",Чувашская Республика
"0,4","8,3","2,8","1,9","4,7","2,7","4,1","0,5","0,2","0,0",Пермский край
"0,6","10,5","2,0","1,4","8,2","4,3","7,2","1,0","0,6","0,0",Кировская область
"0,3","11,9","5,0","2,4","5,1","3,1","4,7","0,9","0,5","0,0",Нижегородская область
"0,2","6,2","1,4","1,1","4,6","2,9","3,9","0,5","0,2","0,0",Оренбургская область
"0,3","11,5","3,1","1,5","5,6","3,5","6,5","0,9","0,4","0,0",Пензенская область
"0,5","11,8","4,3","2,7","4,7","2,9","3,9","0,5","0,3","0,0",Самарская область
"0,3","10,3","2,7","1,8","7,0","3,7","6,9","0,7","0,4","0,0",Саратовская область
"0,4","10,7","2,0","2,1","9,9","4,1","6,1","0,8","0,5","0,0",Ульяновская область
"0,3","6,1","2,7","2,1","3,8","2,3","3,4","0,5","0,2","0,0",Уральский федеральный округ
"0,3","9,5","1,8","1,4","10,0","5,0","7,5","1,1","0,5","0,0",Курганская область
"0,3","10,2","4,0","1,8","6,1","3,2","4,4","0,7","0,4","0,0",Свердловская область
"0,2","3,9","2,0","2,2","2,5","1,7","2,5","0,4","0,1","0,0",Тюменская область
"0,2","4,5","1,2","2,3","2,3","1,8","2,6","0,4","0,1","0,0",Ханты-Мансийский автономный округ Югра
"0,3","1,1","0,6","2,0","1,7","0,9","1,9","0,2","0,0","0,0",Ямало-Ненецкий автономный округ
"0,3","9,0","7,7","2,1","5,0","3,3","3,4","0,6","0,3","0,0",Тюменская область без автономных округов
"0,3","9,3","4,0","2,1","5,0","3,4","5,5","0,6","0,4","0,0",Челябинская область
"0,3","8,6","3,0","2,1","5,9","3,8","5,1","0,6","0,4","0,0",Сибирский федеральный округ
"0,7","8,1","1,6","5,6","16,9","10,0","8,5","1,8","0,2","0,0",Республика Алтай
"0,2","8,9","1,2","0,9","18,4","12,2","15,2","1,8","0,2","0,0",Республика Тыва
"0,1","7,6","1,4","1,8","8,0","3,6","5,4","0,6","0,2","0,0",Республика Хакасия
"0,3","12,8","2,3","2,8","7,0","4,8","5,9","0,6","0,6","0,0",Алтайский край
"0,1","5,6","2,3","1,4","4,1","2,5","3,6","0,6","0,3","0,0",Красноярский край
"0,2","6,5","2,3","2,3","6,7","3,6","5,2","0,5","0,5","0,0",Иркутская область
"0,4","7,9","2,3","2,4","6,2","4,1","6,4","0,6","0,4","0,0",Кемеровская область
"0,3","13,2","5,6","2,9","5,5","4,3","5,2","0,7","0,5","0,0",Новосибирская область
"0,3","10,6","3,4","1,5","6,2","4,2","5,4","0,7","0,5","0,0",Омская область
"0,4","11,3","4,8","2,4","7,6","4,8","5,6","0,8","0,5","0,0",Томская область
"0,2","7,0","1,7","2,0","8,7","3,8","5,4","0,8","0,3","0,0",Дальневосточный федеральный округ
"0,3","9,2","1,7","5,2","11,2","6,6","6,6","1,1","0,7","0,0",Республика Бурятия
"0,2","4,6","1,0","1,0","5,4","4,3","5,0","1,0","0,2","0,0",Республика Саха (Якутия)
"0,1","7,5","1,5","1,9","9,5","5,7","6,2","0,7","0,3","0,0",Забайкальский край
"0,1","5,5","1,7","3,8","17,3","4,4","7,1","1,2","0,3","0,0",Камчатский край
"0,2","11,8","2,4","2,0","12,0","3,0","5,5","0,7","0,4","0,0",Приморский край
"0,2","9,0","1,5","2,2","9,5","3,9","5,4","0,6","0,7","0,0",Хабаровский край
"0,4","10,3","2,9","2,4","7,2","3,9","5,7","0,6","0,4","0,0",Амурская область
"0,1","1,9","1,7","1,2","7,0","2,6","4,4","1,0","0,2","0,0",Магаданская область
"0,1","3,1","1,4","1,9","4,8","2,4","4,2","0,6","0,1","0,0",Сахалинская область
"0,0","6,4","1,1","0,7","15,5","4,6","10,0","1,4","0,7","0,0",Еврейская автономная область
"0,0","1,1","0,2","0,4","10,7","3,6","4,7","0,6","0,2","0,0",Чукотский автономный округ
