,всего,"Сельское,
лесное
хозяйство,
охота,
рыболовство
и рыбоводство
","Добыча
полезных
ископаемых","Обрабатыв
ающие
производства","Обеспечение электрической
энергией,
газом
и паром;
кондиционирование
воздуха","Водоснабжение;
водоотведение,
организация сбора и
утилизации
отходов,
деятельность по
ликвидации
загрязнений",Строительство,"Торговля
оптовая
и розничная;
ремонт
автотранспортных
средств и
мотоциклов","Транспортировка и
хранение","Деятельность
гостиниц
и предприятий общественного
питания","Деятельность
в области
информации
и связи"
Приволжский федеральный округ,100,"7,0","11,9","21,8","2,8","0,7","5,7","11,1","5,8","0,7","2,5"
Республика Башкортостан,100,"6,7","3,8","24,4","2,7","0,7","7,5","13,1","6,1","0,8","2,6"
Республика Марий Эл,100,"14,6","0,2","25,0","2,8","1,4","4,7","8,5","4,9","0,9","3,0"
Республика Мордовия,100,"15,7","0,0","26,7","2,9","0,4","5,0","8,7","4,6","0,6","2,3"
Республика Татарстан,100,"6,4","21,1","16,6","1,8","0,4","6,9","11,3","5,7","0,7","2,7"
Удмуртская Республика,100,"6,6","20,9","18,9","2,4","0,5","5,0","8,4","5,1","0,6","1,7"
Чувашская Республика,100,"7,8","0,1","25,6","3,3","0,5","5,8","12,2","4,9","1,1","2,6"
Пермский край,100,"2,1","17,1","29,8","2,3","0,7","4,6","9,5","4,7","0,6","3,0"
Кировская область,100,"7,8","0,2","28,2","3,4","0,9","3,6","11,3","5,9","0,9","2,0"
Нижегородская область,100,"3,1","0,0","28,1","3,1","0,8","4,9","15,1","6,5","0,6","3,9"
Оренбургская область,100,"8,7","35,5","11,8","3,1","0,8","5,6","7,0","4,6","0,7","1,2"
Пензенская область,100,"18,7","0,2","17,9","1,8","0,4","5,9","13,6","5,0","0,9","2,3"
Самарская область,100,"4,9","13,4","21,1","3,3","1,0","4,5","10,7","6,7","0,6","2,2"
Саратовская область,100,"14,5","3,0","17,5","5,1","0,5","5,9","9,4","7,3","0,8","2,2"
Ульяновская область,100,"8,0","2,4","23,7","2,1","1,2","5,2","10,6","6,9","0,6","2,7"
Уральский федеральный округ,100,"1,8","36,0","14,7","2,6","0,6","7,7","7,0","6,2","0,6","1,4"
Курганская область,100,"9,9","0,9","20,9","3,6","0,9","4,4","8,7","10,0","0,6","3,0"
Свердловская область,100,"2,4","2,3","31,7","3,4","1,1","4,6","14,2","5,9","0,7","2,6"
Тюменская область,100,"0,8","55,8","5,3","2,1","0,3","9,2","3,6","6,1","0,5","0,8"
Ханты-Мансийский автономный округ Югра,100,"0,3","61,5","2,3","2,5","0,3","7,4","2,8","6,5","0,4","0,6"
Ямало-Ненецкий автономный округ,100,"0,1","66,5","4,5","1,4","0,2","12,1","1,5","4,1","0,4","0,5"
Тюменская область без автономных округов,100,"3,9","13,8","15,4","3,0","0,7","7,8","11,0","9,6","1,2","1,9"
Челябинская область,100,"4,1","4,9","30,4","2,9","1,1","6,1","10,5","6,8","0,6","2,0"
Сибирский федеральный округ,100,"5,0","13,4","23,0","3,7","0,7","5,0","9,3","7,4","0,7","2,0"
Республика Алтай,100,"11,1","0,8","2,0","3,0","0,8","7,7","13,6","3,7","1,8","2,1"
Республика Тыва,100,"6,2","11,7","0,6","2,5","0,2","8,8","6,3","1,9","0,6","2,2"
Республика Хакасия,100,"2,9","14,4","19,7","12,7","0,5","4,2","9,3","5,0","0,9","1,7"
Алтайский край,100,"13,9","0,6","18,6","2,3","0,6","5,1","12,9","5,4","0,7","2,8"
Красноярский край,100,"3,1","16,2","40,7","3,3","0,5","3,7","5,4","5,1","0,5","1,0"
Иркутская область,100,"4,8","25,4","10,9","4,7","0,5","6,7","8,1","9,1","0,6","1,4"
Кемеровская область,100,"3,3","19,0","14,9","5,5","1,4","5,6","10,3","7,1","0,7","1,5"
Новосибирская область,100,"4,5","2,4","13,6","2,4","0,7","5,0","15,8","12,5","0,8","4,1"
Омская область,100,"8,3","0,2","30,4","2,2","0,7","5,1","10,3","7,0","0,8","2,2"
Томская область,100,"4,3","17,8","11,0","2,1","0,6","5,3","9,0","7,9","0,8","3,0"
Дальневосточный федеральный округ,100,"5,6","27,1","5,0","3,2","0,4","6,6","9,4","10,6","0,8","1,4"
Республика Бурятия,100,"4,2","6,3","11,9","3,3","0,5","6,5","11,7","9,4","1,6","2,0"
Республика Саха (Якутия),100,"1,4","49,1","1,1","3,7","0,4","6,2","6,5","6,7","1,0","1,2"
Забайкальский край,100,"3,9","25,9","2,2","3,2","0,4","6,1","8,3","13,7","0,9","2,0"
Камчатский край,100,"22,7","7,6","7,2","3,5","0,4","3,9","6,6","4,6","0,9","1,2"
Приморский край,100,"8,9","1,0","7,2","2,2","0,5","4,4","16,0","19,2","0,7","1,9"
Хабаровский край,100,"6,9","7,6","10,1","2,5","0,5","6,4","13,5","16,2","0,9","2,4"
Амурская область,100,"4,8","15,2","3,2","4,9","0,5","15,8","9,1","10,3","1,0","1,4"
Магаданская область,100,"4,4","56,2","0,9","4,6","0,2","2,6","5,9","3,8","0,6","0,7"
Сахалинская область,100,"3,0","55,5","4,1","1,7","0,3","7,6","4,4","3,9","0,5","0,4"
Еврейская автономная область,100,"3,4","13,6","3,9","3,4","0,4","8,5","6,2","18,1","0,5","1,6"
Чукотский автономный округ,100,"2,4","45,5","0,2","12,9","0,6","7,5","5,0","3,4","0,5","0,5"
